Dataset_Name,n_samples,n_features,Minority_Ratio,Imbalance_Ratio,Categorical_Ratio,Samples_Per_Feature,Missing_Values_Ratio,Avg_Correlation,Linearity_AUC,NonLinear_AUC,Mean_Skewness,Minority_Overlap_Ratio,Minority_Avg_Distance
Clean_parkinsons.csv,195,22,0.24615384615384617,3.0625,0.0,8.863636363636363,0.0,0.5017544881250771,0.7546768707482993,0.6611394557823129,1.720082043515977,0.2916666666666667,144.33188906633583
Clean_sonar.csv,208,60,0.46634615384615385,1.1443298969072164,0.0,3.466666666666667,0.0,0.22939566425480035,0.6536053098553098,0.46485548048048053,1.1437112486709375,0.21649484536082475,1.7966940168770513
Clean_haberman.csv,306,3,0.2647058823529412,2.7777777777777777,0.0,102.0,0.0,0.05215667405086785,0.7068312757201646,0.5844444444444444,1.069694273686161,0.5679012345679012,17.4661228790822
Clean_ionosphere.csv,351,33,0.358974358974359,1.7857142857142858,0.0,10.636363636363637,0.0,0.230562077777909,0.8276190476190477,0.7785714285714286,0.6153622320990674,0.3253968253968254,5.023357367575265
Clean_Breast_Cancer_Wisconsin.csv,569,30,0.37258347978910367,1.6839622641509433,0.0,18.966666666666665,0.0,0.39489662556591243,0.9919674912218408,0.8908608513828066,1.7404066998407544,0.14150943396226415,778.419176042607
Clean_covid.csv,599,25,0.1352253756260434,6.395061728395062,0.0,23.96,0.0,0.11004421687933946,0.8678087954872469,0.6652197129243774,2.200191701385157,0.5432098765432098,7.473524262029169
Clean_blood.csv,748,4,0.23796791443850268,3.202247191011236,0.0,187.0,0.0,0.4660981276689071,0.8217563683219348,0.5592179601546238,2.262632627996652,0.5786516853932584,1815.3633257899894
Clean_pimadiabetes.csv,768,8,0.3489583333333333,1.8656716417910448,0.0,96.0,0.0,0.17495406035437733,0.8247975943184551,0.6516359426507452,1.1806892562772462,0.45149253731343286,105.4328181160805
Clean_Titanic-Dataset.csv,891,8,0.3838383838383838,1.605263157894737,0.0,111.375,0.0,0.1636468584201113,0.8457162943789346,0.6563129134311187,2.1187426222326486,0.3713450292397661,60.533478959600224
Clean_heart.csv,918,15,0.4466230936819172,1.2390243902439024,0.0,61.2,0.0,0.14885518378900486,0.9123474112905519,0.6296234956212002,0.9705598638235642,0.3951219512195122,91.34371499763172
heart_balanced.csv,1025,13,0.4868292682926829,1.0541082164328657,0.0,78.84615384615384,0.0,0.1364603185310497,0.9137977987070766,0.9571112371564179,0.7905718860640494,0.0,73.28307157793826
Clean_banknote.csv,1372,4,0.4446064139941691,1.2491803278688525,0.0,343.0,0.0,0.4256248587599656,0.9997355490300022,0.9993438320209974,0.6635756905202683,0.0,9.606477214220895
Clean_mdlon.csv,2000,500,0.5,1.0,0.0,4.0,0.0,0.018207390671377516,0.5340438260633905,0.6399902896908886,0.05576197783130581,0.337,944.3306636251286
Clean_spambase.csv,4601,57,0.39404477287546186,1.5377826806398236,0.0,80.71929824561404,0.0,0.060853842705061154,0.9535450387731652,0.7573953123073754,11.186639096028685,0.21345835631549917,628.6361673632923
balanced_artificial_dataset.csv,5000,12,0.4978,1.008838891120932,0.0,416.6666666666667,0.0,0.20230195313985,0.8610553299810192,0.890934855751209,0.12877481077493375,0.11329851345922057,7.775408700212946
Clean_shuttle_full_dataset.csv,58000,9,0.2140344827586207,3.67214435314967,0.0,6444.444444444444,0.0,0.1885551786379734,0.9908281108284537,0.9975619809055928,7.567228216382211,0.0037054937973256003,111.27709284110517
Clean_weatherAUS.csv,142193,111,0.22418121848473554,3.4606769771308468,0.0,1281.018018018018,0.0,0.03611332422021095,0.8427854821431121,0.676216777690542,4.667563140396691,0.471688050945823,51.65413582238457
Clean_nsl_kdd_full_dataset.csv,148517,119,0.4811772389692762,1.078236290108168,0.0,1248.0420168067226,0.0,0.03325069687835004,0.9255767697875789,0.9583056615606961,39.78029536627927,0.007416425283013587,203939.47074309853
Clean_Loan_Default.csv,148670,48,0.24644514696979888,3.057698081279511,0.0,3097.2916666666665,0.0,0.042638832269535264,0.5823574472007795,0.832216369909628,10.77386250621718,0.21400693250361635,355536.82989427785
Clean_DDos.csv,223112,78,0.4262253935243286,1.346176495331034,0.0,2860.4102564102564,0.0,0.17522849562467596,0.9855024469793167,0.9938540895962046,17.614722855654584,0.0018823084041389754,68465651.29945457
Clean_Infiltration.csv,252972,78,0.00014230823964707557,7026.0,0.0,3243.230769230769,0.0,0.15185777901347555,0.4577172354535007,0.6388098175032421,45.18603250256113,0.5833333333333334,136673340.85611597
Clean_creditcard.csv,275663,29,0.0017158632097887638,581.7970401691332,0.0,9505.620689655172,0.0,0.011029050532676962,0.9693077886858505,0.8177778415110804,2.743767374516348,0.26849894291754756,203.53208146372427
