Dataset,Method,MCC,Recall,Kendall_Diff,Wasserstein,KL_Div,Norm_MCC,Norm_Recall,Norm_Kendall_Diff,Norm_Wasserstein,Norm_KL_Div,Final_Score
Clean_blood.csv,ctgan,0.060877227949767014,0.1759259259259259,0.44480513600171734,0.7725648260902652,0.8784277553010758,0.290233746687891,0.13414634146341464,0.58383049747159,0.0011493194538976237,0.9577833718122615,0.28401431558605233
Clean_blood.csv,ctgan_filtered,0.21000068004251443,0.3287037037037037,0.49104052238919743,0.4732159726886345,2.8248474792412224,0.77567108610358,0.5365853658536587,0.5066895470760269,0.4112957403187163,0.7963820380308004,0.6176228516330956
Clean_blood.csv,gan_from_tutorial,0.09609866007131096,0.12499999999999996,0.26593666023193324,0.14025125694492974,1.34298021380937,0.40488907460276913,0.0,0.8822617488306838,0.8675002150802297,0.9192616770860519,0.6023580369568502
Clean_blood.csv,gan_from_tutorial_filtered,0.2789131829099642,0.38657407407407407,0.6415728144850554,0.08039795331776899,0.4167663194305674,1.0,0.6890243902439024,0.25553550717724005,0.9495069372729446,0.9960653366878166,0.8789146045927794
Clean_blood.csv,gan_paper,0.1420079858881652,0.22685185185185186,0.3055683664521977,0.05037855553521785,1.1272746560870357,0.5543363993940493,0.2682926829268294,0.8161386400497261,0.9906373722725113,0.9371484485219589,0.7210837485892245
Clean_blood.csv,gan_paper_filtered,0.27287807719326473,0.4976851851851851,0.5962374972496334,0.044399005344265725,0.3693162389481651,0.9803540917200274,0.9817073170731705,0.33117474654070334,0.9988301249132241,1.0,0.9230788805233655
Clean_blood.csv,smote,-0.02828084602947478,0.5046296296296297,0.5017490540460086,0.14768166965457746,0.723696874404445,0.0,1.0,0.4888230086107819,0.8573195942300752,0.9706139911523399,0.5031395782453347
Clean_blood.csv,smote_filtered,0.2634238807753563,0.4375,0.38683910402517174,0.138931666251202,0.6815730952091128,0.949578114561395,0.8231707317073171,0.6805433217109298,0.8693082240099075,0.9741069860405541,0.8884058169734104
Clean_blood.csv,smotified_gan,0.1607373091928207,0.25231481481481477,0.37749942967872047,0.0646553167370873,1.678859412954187,0.6153054337509893,0.33536585365853655,0.6961260044083843,0.9710763736518413,0.8914098473575275,0.729735256138393
Clean_blood.csv,smotified_gan_filtered,0.12538681048285275,0.3101851851851852,0.5633003229911966,0.09288383580966339,9.192271460424932,0.5002299590355057,0.4878048780487805,0.3861284329735717,0.932399672764674,0.2683814682283576,0.5940433633686755
Clean_blood.csv,wgangp,0.11743413787656398,0.24074074074074073,0.1953687775770597,0.4941263581534861,2.096712873438589,0.47434184970686843,0.30487804878048785,1.0,0.3826458234746857,0.856760534561386,0.5206943452593404
Clean_blood.csv,wgangp_filtered,0.1424201992834927,0.2777777777777778,0.2574048841601161,0.6914543288420318,8.987395330648331,0.5556782659555533,0.40243902439024404,0.8964965020395446,0.11228113025891417,0.28537024007402545,0.414386222110277
Clean_Breast_Cancer_Wisconsin.csv,ctgan,0.8891127728841297,0.90625,0.262514817509378,0.38675762996135,2.4893416881045938,0.35756525210595314,0.6666666666666679,0.10630576210958165,0.37648873904538527,0.5285337680141537,0.3861233422350372
Clean_Breast_Cancer_Wisconsin.csv,ctgan_filtered,0.890850899719614,0.90234375,0.23946212242048537,0.35071747456558666,1.7554364993625589,0.3935813955631211,0.533333333333335,0.27033682596744113,0.43882439939001194,0.6764344548942023,0.4370903394617499
Clean_Breast_Cancer_Wisconsin.csv,gan_from_tutorial,0.8910912154707333,0.900390625,0.24237301672496658,0.06287501973029545,2.8242258687123107,0.39856103593839975,0.46666666666666856,0.2496244065431329,0.9366815617785381,0.4610460310463298,0.5581625933345344
Clean_Breast_Cancer_Wisconsin.csv,gan_from_tutorial_filtered,0.8718567954122189,0.896484375,0.2401423461275383,0.026266658796885778,0.1498561774545122,0.0,0.33333333333333215,0.2654967056301455,1.0,1.0,0.4598830038963478
Clean_Breast_Cancer_Wisconsin.csv,gan_paper,0.8930873597196689,0.8984375,0.22633276558040025,0.0379015708927756,2.6039058041194347,0.43992362016594555,0.40000000000000213,0.36375854355595416,0.9798760598952846,0.50544616526884,0.5968527369174433
Clean_Breast_Cancer_Wisconsin.csv,gan_paper_filtered,0.8892545483527273,0.90625,0.20654150271628513,0.02920985830795406,0.17027159964510985,0.3605030156289999,0.6666666666666679,0.5045829413182593,0.994909392508613,0.995885769699883,0.6593875617726648
Clean_Breast_Cancer_Wisconsin.csv,smote,0.9201164553491906,0.9131944444444444,0.13691628583954307,0.1985272618279281,2.561039065225006,1.0,0.9037037037037017,1.0,0.7020551569939701,0.5140849107417544,0.8523954085427367
