Dataset Name,Method,IQR Used,Filtered,MCC,F1-score (Malignant),AUC (Binary),Recall (Malignant),AUC (Probability),Balanced_Accuracy,F1-score (Benign),Frobenius_Kendall_Diff,Generation_Time,PR_AUC,Precision (Benign),Precision (Malignant),Recall (Benign),Training_Time
heart_balanced,gan-tutorial,True,True,0.7329 (± 0.1185),0.9795 (± 0.0084),0.7981 (± 0.0558),0.9962 (± 0.0085),0.9548 (± 0.0340),0.7981 (± 0.0558),0.7304 (± 0.1105),0.3430 (± 0.1779),2.1916 (± 0.1245),0.9949 (± 0.0039),0.9400 (± 0.1342),0.9633 (± 0.0096),0.6000 (± 0.1054),0.6583 (± 0.1362)
heart_balanced,smotified_gan,False,False,0.7235 (± 0.0826),0.9789 (± 0.0058),0.7824 (± 0.0436),0.9981 (± 0.0060),0.9457 (± 0.0401),0.7824 (± 0.0436),0.7125 (± 0.0806),0.3068 (± 0.1258),1.5704 (± 0.2553),0.9938 (± 0.0047),0.9700 (± 0.0949),0.9604 (± 0.0076),0.5667 (± 0.0846),0.5589 (± 0.0222)
heart_balanced,smote,True,True,0.7173 (± 0.0787),0.9782 (± 0.0059),0.7848 (± 0.0317),0.9962 (± 0.0085),0.9564 (± 0.0271),0.7848 (± 0.0317),0.7113 (± 0.0690),0.3381 (± 0.1201),0.0012 (± 0.0000),0.9954 (± 0.0030),0.9455 (± 0.1220),0.9609 (± 0.0054),0.5733 (± 0.0596),0.5875 (± 0.1075)
heart_balanced,gan-paper,False,True,0.7158 (± 0.1033),0.9782 (± 0.0073),0.7848 (± 0.0414),0.9962 (± 0.0085),0.9591 (± 0.0259),0.7848 (± 0.0414),0.7111 (± 0.0922),0.3606 (± 0.1635),1.2952 (± 0.1830),0.9954 (± 0.0031),0.9400 (± 0.1342),0.9609 (± 0.0070),0.5733 (± 0.0760),0.6365 (± 0.1026)
heart_balanced,ctgan,True,True,0.7158 (± 0.1033),0.9782 (± 0.0073),0.7848 (± 0.0414),0.9962 (± 0.0085),0.9607 (± 0.0432),0.7848 (± 0.0414),0.7111 (± 0.0922),0.3581 (± 0.1637),2.0940 (± 0.0929),0.9954 (± 0.0053),0.9400 (± 0.1342),0.9609 (± 0.0070),0.5733 (± 0.0760),0.6370 (± 0.0889)
heart_balanced,gan-tutorial,False,True,0.7149 (± 0.1128),0.9783 (± 0.0079),0.7848 (± 0.0532),0.9962 (± 0.0085),0.9546 (± 0.0283),0.7848 (± 0.0532),0.7093 (± 0.1069),0.3546 (± 0.1657),2.2484 (± 0.1426),0.9949 (± 0.0032),0.9400 (± 0.1342),0.9610 (± 0.0091),0.5733 (± 0.1011),0.6579 (± 0.1467)
heart_balanced,gan-paper_2,True,False,0.7131 (± 0.1339),0.9783 (± 0.0090),0.7848 (± 0.0595),0.9962 (± 0.0085),0.9414 (± 0.0705),0.7848 (± 0.0595),0.7091 (± 0.1246),0.3349 (± 0.1797),1.0368 (± 0.3466),0.9928 (± 0.0094),0.9333 (± 0.1491),0.9610 (± 0.0101),0.5733 (± 0.1116),0.6631 (± 0.0917)
heart_balanced,gan-paper_2,True,True,0.7127 (± 0.1370),0.9783 (± 0.0093),0.7848 (± 0.0640),0.9962 (± 0.0085),0.9468 (± 0.0557),0.7848 (± 0.0640),0.7084 (± 0.1285),0.3449 (± 0.1875),1.0368 (± 0.3466),0.9936 (± 0.0075),0.9333 (± 0.1491),0.9610 (± 0.0110),0.5733 (± 0.1211),0.6010 (± 0.0974)
heart_balanced,gan-paper,True,True,0.7071 (± 0.0956),0.9776 (± 0.0068),0.7781 (± 0.0336),0.9962 (± 0.0085),0.9565 (± 0.0282),0.7781 (± 0.0336),0.7011 (± 0.0823),0.3363 (± 0.1767),1.3056 (± 0.1934),0.9951 (± 0.0031),0.9400 (± 0.1342),0.9597 (± 0.0055),0.5600 (± 0.0596),0.6479 (± 0.0961)
heart_balanced,gan-paper_2,False,False,0.7044 (± 0.1278),0.9776 (± 0.0086),0.7781 (± 0.0543),0.9962 (± 0.0085),0.9389 (± 0.0625),0.7781 (± 0.0543),0.6991 (± 0.1173),0.3492 (± 0.1714),0.9020 (± 0.3550),0.9927 (± 0.0080),0.9333 (± 0.1491),0.9598 (± 0.0092),0.5600 (± 0.1011),0.6550 (± 0.1056)
heart_balanced,smotified_gan,False,True,0.6962 (± 0.1239),0.9774 (± 0.0079),0.7657 (± 0.0665),0.9981 (± 0.0060),0.9499 (± 0.0289),0.7657 (± 0.0665),0.6804 (± 0.1278),0.3139 (± 0.1453),1.5704 (± 0.2553),0.9945 (± 0.0032),0.9625 (± 0.1186),0.9576 (± 0.0114),0.5333 (± 0.1296),0.4819 (± 0.0229)
heart_balanced,wgangp,True,False,0.6913 (± 0.1602),0.9771 (± 0.0104),0.7714 (± 0.0758),0.9962 (± 0.0085),0.9463 (± 0.0405),0.7714 (± 0.0758),0.6844 (± 0.1525),0.3638 (± 0.1982),0.7624 (± 0.0526),0.9939 (± 0.0048),0.9250 (± 0.1677),0.9587 (± 0.0130),0.5467 (± 0.1445),0.6707 (± 0.1160)
heart_balanced,gan-paper,False,False,0.6872 (± 0.1036),0.9764 (± 0.0072),0.7648 (± 0.0490),0.9962 (± 0.0085),0.9513 (± 0.0338),0.7648 (± 0.0490),0.6763 (± 0.1010),0.3679 (± 0.1612),1.2952 (± 0.1830),0.9944 (± 0.0042),0.9400 (± 0.1342),0.9575 (± 0.0083),0.5333 (± 0.0943),0.6826 (± 0.0803)
heart_balanced,smote,False,True,0.6868 (± 0.1080),0.9764 (± 0.0075),0.7648 (± 0.0544),0.9962 (± 0.0085),0.9559 (± 0.0314),0.7648 (± 0.0544),0.6754 (± 0.1068),0.3756 (± 0.1500),0.0018 (± 0.0014),0.9953 (± 0.0035),0.9400 (± 0.1342),0.9575 (± 0.0093),0.5333 (± 0.1054),0.5617 (± 0.0843)
heart_balanced,gan-paper_2,False,True,0.6865 (± 0.1162),0.9764 (± 0.0078),0.7648 (± 0.0447),0.9962 (± 0.0085),0.9310 (± 0.0538),0.7648 (± 0.0447),0.6783 (± 0.1033),0.3416 (± 0.1766),0.9020 (± 0.3550),0.9916 (± 0.0066),0.9333 (± 0.1491),0.9574 (± 0.0075),0.5333 (± 0.0816),0.5869 (± 0.1527)
heart_balanced,smote,False,False,0.6856 (± 0.1244),0.9764 (± 0.0084),0.7648 (± 0.0558),0.9962 (± 0.0085),0.9622 (± 0.0258),0.7648 (± 0.0558),0.6764 (± 0.1160),0.3708 (± 0.1538),0.0018 (± 0.0014),0.9961 (± 0.0028),0.9333 (± 0.1491),0.9574 (± 0.0095),0.5333 (± 0.1054),0.5916 (± 0.0988)
heart_balanced,smotified_gan,True,True,0.6809 (± 0.1289),0.9765 (± 0.0081),0.7557 (± 0.0700),0.9981 (± 0.0060),0.9435 (± 0.0354),0.7557 (± 0.0700),0.6616 (± 0.1381),0.3402 (± 0.1438),1.6308 (± 0.2698),0.9936 (± 0.0041),0.9625 (± 0.1186),0.9559 (± 0.0120),0.5133 (± 0.1372),0.4854 (± 0.0168)
heart_balanced,gan-paper,True,False,0.6797 (± 0.0782),0.9758 (± 0.0056),0.7581 (± 0.0192),0.9962 (± 0.0085),0.9559 (± 0.0313),0.7581 (± 0.0192),0.6685 (± 0.0607),0.3635 (± 0.1621),1.3056 (± 0.1934),0.9951 (± 0.0035),0.9400 (± 0.1342),0.9562 (± 0.0030),0.5200 (± 0.0298),0.6700 (± 0.0928)
