Case,IQR Used,Filtered,Balancing Method,MCC,F1-score (Malignant),AUC (Binary),AUC (Probability),Precision (Benign),Precision (Malignant),Recall (Benign),Recall (Malignant),F1-score (Benign)
iqr_creditcard-ctgan_filtered,True,True,ctgan,0.8235 (± 0.0345),0.8228 (± 0.0342),0.8918 (± 0.0144),0.9656 (± 0.0008),0.9996 (± 0.0000),0.8659 (± 0.0408),0.9998 (± 0.0001),0.7838 (± 0.0287),0.9997 (± 0.0001)
iqr_creditcard-smotified_gan_filtered,True,True,smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
iqr_creditcard-wgangp_filtered,True,True,wgangp,0.8167 (± 0.0103),0.8113 (± 0.0097),0.8631 (± 0.0024),0.9718 (± 0.0037),0.9995 (± 0.0000),0.9189 (± 0.0172),0.9999 (± 0.0000),0.7264 (± 0.0048),0.9997 (± 0.0000)
creditcard-smotified_gan,False,False,smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
creditcard-ctgan_filtered,False,True,ctgan,0.7980 (± 0.0135),0.7908 (± 0.0130),0.8479 (± 0.0048),0.9513 (± 0.0024),0.9995 (± 0.0000),0.9156 (± 0.0183),0.9999 (± 0.0000),0.6959 (± 0.0096),0.9997 (± 0.0000)
Breast_Cancer_Wisconsin-ctgan,False,False,breast_cancer_wisconsin-ctgan,0.7943 (± 0.0260),0.8594 (± 0.0206),0.8805 (± 0.0166),0.9738 (± 0.0128),0.8853 (± 0.0160),0.9439 (± 0.0022),0.9720 (± 0.0000),0.7891 (± 0.0331),0.9265 (± 0.0088)
iqr_creditcard-gan_paper_filtered,True,True,gan-paper,0.7734 (± 0.2333),0.7699 (± 0.2322),0.8531 (± 0.1067),0.9682 (± 0.0263),0.9995 (± 0.0004),0.8483 (± 0.2592),0.9999 (± 0.0001),0.7063 (± 0.2135),0.9997 (± 0.0002)
iqr_creditcard-gan_from_tutorial,True,False,gan-tutorial,0.7585 (± 0.2108),0.7558 (± 0.2099),0.8567 (± 0.0976),0.9600 (± 0.0284),0.9995 (± 0.0003),0.8101 (± 0.2397),0.9998 (± 0.0002),0.7137 (± 0.1953),0.9996 (± 0.0002)
iqr_creditcard-gan_paper,True,False,gan-paper,0.7538 (± 0.2135),0.7376 (± 0.2447),0.8806 (± 0.0208),0.9574 (± 0.0330),0.9996 (± 0.0001),0.7933 (± 0.3058),0.9982 (± 0.0042),0.7630 (± 0.0392),0.9989 (± 0.0021)
iqr_creditcard-smote,True,False,smote,0.7511 (± 0.0210),0.7470 (± 0.0218),0.9183 (± 0.0113),0.9754 (± 0.0086),0.9997 (± 0.0000),0.6749 (± 0.0308),0.9993 (± 0.0001),0.8373 (± 0.0227),0.9995 (± 0.0001)
creditcard-smote,False,False,smote,0.7440 (± 0.0268),0.7379 (± 0.0310),0.9229 (± 0.0065),0.9736 (± 0.0073),0.9997 (± 0.0000),0.6558 (± 0.0486),0.9992 (± 0.0002),0.8465 (± 0.0131),0.9995 (± 0.0001)
iqr_creditcard-smote_filtered,True,True,smote,0.7391 (± 0.0322),0.7340 (± 0.0339),0.9167 (± 0.0134),0.9681 (± 0.0137),0.9997 (± 0.0000),0.6564 (± 0.0457),0.9992 (± 0.0001),0.8342 (± 0.0268),0.9995 (± 0.0001)
creditcard-smote_filtered,False,True,smote,0.7375 (± 0.0406),0.7324 (± 0.0417),0.9156 (± 0.0181),0.9562 (± 0.0315),0.9997 (± 0.0001),0.6551 (± 0.0506),0.9992 (± 0.0001),0.8320 (± 0.0360),0.9995 (± 0.0001)
creditcard-smotified_gan_filtered,False,True,smotified_gan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Breast_Cancer_Wisconsin-gan_paper_filtered,False,True,breast_cancer_wisconsin-gan-paper,0.6461 (± 0.5928),0.8205 (± 0.2832),0.8195 (± 0.2882),0.7919 (± 0.4079),0.8280 (± 0.2604),0.8252 (± 0.3496),0.7991 (± 0.4019),0.8398 (± 0.1746),0.8017 (± 0.3539)
Breast_Cancer_Wisconsin-ctgan_filtered,False,True,breast_cancer_wisconsin-ctgan,0.4211 (± 0.0428),0.6613 (± 0.0179),0.6985 (± 0.0210),0.6985 (± 0.0210),0.9404 (± 0.0288),0.5063 (± 0.0147),0.4439 (± 0.0198),0.9531 (± 0.0221),0.6031 (± 0.0242)
