dataset,balance_method,wasserstein_mean,kl_divergence_mean,pairwise_real_real,pairwise_synth_synth,pairwise_real_synth
Clean_mdlon,smote,0.1777409069066201,0.5176733790711178,31.522424047339804,25.574525860413015,28.437703648096463
Clean_mdlon,smote,0.16243944581906544,0.5051194322130947,31.54717053114322,25.44930393940889,28.51885907139137
Clean_mdlon,smote,0.17658670880936472,0.6889364150158033,31.378547385211593,25.17585763428439,28.233271580153634
Clean_mdlon,smote,0.1709573101590841,0.5794904796723443,31.212053354363704,25.352083844940726,28.172269248755427
Clean_mdlon,smote,0.17450144135801562,0.5927065868938874,31.453317851243476,25.08852233527006,28.21164592583425
Clean_mdlon,smote,0.1777409069066201,0.5176733790711178,31.522424047339804,25.574525860413015,28.437703648096463
Clean_mdlon,smote,0.1777409069066201,0.5176733790711178,31.522424047339804,25.574525860413015,28.437703648096463
Clean_mdlon,smote,0.16243944581906544,0.5051194322130947,31.54717053114322,25.44930393940889,28.51885907139137
Clean_mdlon,smote,0.17658670880936472,0.6889364150158033,31.378547385211593,25.17585763428439,28.233271580153634
Clean_mdlon,smote,0.1709573101590841,0.5794904796723443,31.212053354363704,25.352083844940726,28.172269248755427
Clean_mdlon,smote,0.17450144135801562,0.5927065868938874,31.453317851243476,25.08852233527006,28.21164592583425
