dataset,balance_method,wasserstein_mean,kl_divergence_mean,pairwise_real_real,pairwise_synth_synth,pairwise_real_synth
Clean_sonar,gan_paper_2,0.310961451934382,3.931504597622778,,,
Clean_sonar,gan_paper_2,0.15291937714306014,2.3809855744900483,,,
Clean_sonar,gan_paper_2,0.3330809906484982,11.994522325587612,,,
Clean_sonar,gan_paper_2,0.28164267513666624,7.90603433009831,,,
Clean_sonar,gan_paper_2,0.15181323072475417,3.278949753378472,,,
Clean_sonar,gan_paper_2,0.18722875531925773,3.211059129579613,,,
Clean_sonar,gan_paper_2,0.1718178290605395,2.8811858145318427,,,
Clean_sonar,gan_paper_2,0.29357328413266387,4.645592153728851,,,
Clean_sonar,gan_paper_2,0.17078325171576544,2.235568206610213,,,
Clean_sonar,gan_paper_2,0.332546654618198,11.944137551354494,,,
Clean_sonar,gan_paper_2,0.16360455336053886,5.0825692399964835,,,
Clean_sonar,gan_paper_2,0.18213690397682233,3.552982225137129,,,
Clean_sonar,gan_paper_2,0.14471903529972463,2.8576710115960564,,,
Clean_sonar,gan_paper_2,0.18677458892559948,2.7683700904236104,,,
Clean_sonar,gan_paper_2,0.2836978476905298,7.078541888622497,,,
Clean_sonar,gan_paper_2,0.17454844299772249,4.734818635088229,,,
Clean_sonar,gan_paper_2,0.16975362192972082,3.6861423950780803,,,
