dataset,balance_method,wasserstein_mean,kl_divergence_mean,pairwise_real_real,pairwise_synth_synth,pairwise_real_synth
Clean_mdlon,smote_filtered,0.18198472359889842,0.4688267706698226,31.522424047339804,25.576027464652956,28.42278803183441
Clean_mdlon,smote_filtered,0.17571691089703337,0.4927546552078757,31.547170531143227,24.786288704018684,28.21402642720558
Clean_mdlon,smote_filtered,0.17188528820685522,0.4257137293951279,31.378547385211593,26.106932350617022,28.542423661685195
Clean_mdlon,smote_filtered,0.1744044031305273,0.5022402540979581,31.212053354363704,25.00844343038877,28.069437746796872
Clean_mdlon,smote_filtered,0.1668190239101345,0.4740448727261885,31.453317851243476,24.774872409858933,28.130102364991878
Clean_mdlon,smote_filtered,0.18198472359889842,0.4688267706698226,31.522424047339804,25.576027464652956,28.42278803183441
Clean_mdlon,smote_filtered,0.18198472359889842,0.4688267706698226,31.522424047339804,25.576027464652956,28.42278803183441
Clean_mdlon,smote_filtered,0.17571691089703337,0.4927546552078757,31.547170531143227,24.786288704018684,28.21402642720558
Clean_mdlon,smote_filtered,0.17188528820685522,0.4257137293951279,31.378547385211593,26.106932350617022,28.542423661685195
Clean_mdlon,smote_filtered,0.1744044031305273,0.5022402540979581,31.212053354363704,25.00844343038877,28.069437746796872
Clean_mdlon,smote_filtered,0.1668190239101345,0.4740448727261885,31.453317851243476,24.774872409858933,28.130102364991878
